,gen,score,total,angle,range,speed,rspeed
40,0,3,30,157.71,22.47,23.79,287.11
41,0,3,30,145.64,14.96,24.15,299.86
42,0,3,30,127.02,10.78,23.37,161.4
43,0,2,30,118.03,22.88,23.12,282.82
44,0,2,30,105.8,19.31,16.14,157.7
45,0,2,30,149.56,22.95,20.65,279.71
46,0,2,30,147.74,23.53,17.84,201.55
47,0,2,30,97.07,11.68,16.49,217.83
48,0,2,30,118.54,9.04,21.6,163.83
49,0,1,30,135.27,8.05,14.23,163.7
50,0,1,30,136.23,12.98,21.63,198.42
51,0,1,30,95.29,12.88,18.08,227.44
52,0,1,30,154.95,23.8,16.12,292.36
53,0,1,30,113.94,10.37,12.86,250.52
54,0,1,30,122.39,17.45,15.16,240.3
55,0,1,30,139.81,16.41,18.29,173.47
56,0,1,30,148.49,24.98,23.98,232.57
57,0,1,30,108.91,11.45,18.89,237.63
58,0,0,30,138.11,12.29,10.22,156.97
59,0,0,30,116.62,12.95,10.83,276.98
60,0,0,30,111.58,17.88,19.37,200.07
61,0,0,30,159.51,16.63,17.33,177.83
62,0,0,30,91.33,24.89,11.26,152.79
63,0,0,30,106.33,11.14,18.76,244.49
64,0,0,30,108.32,14.06,13.77,224.27
65,0,0,30,151.9,14.05,12.68,180.28
66,0,0,30,113.58,8.73,17.67,249.49
67,0,0,30,107.05,9.93,15.51,232.09
68,0,0,30,156.19,20.52,11.9,201.02
69,0,0,30,126.26,24.66,11.35,180.16
70,1,3,30,124.71,14.11,19.26,200.85
71,1,3,30,149.02,23.97,22.31,230.53
72,1,3,30,126.5,17.67,20.93,257.27
73,1,3,30,131.83,18.92,23.64,291.34
74,1,2,30,125.72,15.42,20.14,228.78
75,1,2,30,156.33,23.13,19.96,289.73
76,1,2,30,152.72,23.0,20.82,244.33
77,1,2,30,112.17,14.17,18.87,160.77
78,1,2,30,147.6,18.96,22.4,289.78
79,1,2,30,116.31,17.2,19.77,258.67
80,1,1,30,159.16,19.68,19.47,226.59
81,1,1,30,116.41,15.04,19.76,159.55
82,1,1,30,128.32,17.49,18.37,219.59
83,1,1,30,113.73,10.24,20.24,200.73
84,1,1,30,142.42,15.5,17.44,221.71
85,1,1,30,132.88,23.2,20.48,242.18
86,1,0,30,134.44,17.09,14.49,298.58
87,1,0,30,112.04,11.23,17.94,189.61
88,1,0,30,133.14,16.29,19.72,182.69
89,1,0,30,127.68,23.24,18.4,218.7
90,1,0,30,122.78,9.91,22.48,162.61
91,1,0,30,146.69,19.25,21.0,250.7
92,1,0,30,151.11,17.16,20.61,181.47
93,1,0,30,147.38,20.1,17.21,232.91
94,1,0,30,124.71,14.11,19.26,200.85
95,1,0,30,109.73,14.57,15.82,229.06
96,1,0,30,157.71,22.47,23.79,287.11
97,1,0,30,139.44,21.42,16.99,179.63
98,1,0,30,130.84,16.95,15.35,226.03
99,1,0,30,122.78,9.91,22.48,162.61
100,2,6,30,140.43,21.44,22.97,260.93
101,2,3,30,130.6,19.07,20.59,195.65
102,2,2,30,131.83,18.92,23.64,291.34
103,2,2,30,137.37,19.69,19.11,229.65
104,2,2,30,126.5,17.67,20.93,257.27
105,2,2,30,150.87,23.48,21.57,237.43
106,2,2,30,134.52,20.1,20.29,251.5
107,2,1,30,153.38,19.32,20.93,258.18
108,2,1,30,140.24,21.08,21.44,265.98
109,2,1,30,119.34,15.92,19.9,209.02
110,2,1,30,137.96,18.22,20.38,254.69
111,2,1,30,138.71,18.56,20.04,222.59
112,2,1,30,138.71,18.56,20.04,222.59
113,2,1,30,136.32,20.17,19.86,274.2
114,2,1,30,139.22,19.21,20.48,236.55
115,2,1,30,125.6,15.89,20.1,229.06
116,2,1,30,129.37,16.35,18.61,240.19
117,2,1,30,151.96,21.05,21.18,289.76
118,2,0,30,148.31,21.46,22.36,260.15
119,2,0,30,136.32,20.17,19.86,246.78
120,2,0,30,134.46,16.59,19.19,239.49
121,2,0,30,149.37,19.32,18.7,255.72
122,2,0,30,143.74,18.59,17.03,223.09
123,2,0,30,126.51,15.8,18.81,210.22
124,2,0,30,136.15,16.54,20.83,245.32
125,2,0,30,128.27,16.52,21.45,246.09
126,2,0,30,122.78,14.58,21.94,246.03
127,2,0,30,140.52,18.62,19.61,245.29
128,2,0,30,128.79,18.66,19.87,221.52
129,2,0,30,152.72,23.0,22.9,244.33
130,3,4,30,129.02,17.24,19.97,215.8
131,3,3,30,138.97,18.88,22.29,229.57
132,3,2,30,140.43,21.44,22.97,260.93
133,3,2,30,138.9,20.57,21.04,245.29
134,3,2,30,145.67,18.77,20.66,256.43
135,3,2,30,138.04,19.13,21.53,226.12
136,3,2,30,132.16,17.23,20.07,225.82
137,3,1,30,152.67,20.18,21.06,273.97
138,3,1,30,133.46,19.56,21.95,259.1
139,3,1,30,137.47,20.77,21.63,256.21
140,3,1,30,124.97,17.5,20.25,202.33
141,3,1,30,144.12,21.59,20.34,233.54
142,3,1,30,138.97,18.88,20.26,229.57
143,3,1,30,127.83,18.05,19.88,217.45
144,3,1,30,139.83,20.33,21.73,248.74
145,3,1,30,134.28,18.65,20.49,225.17
146,3,1,30,132.56,19.59,20.44,223.57
147,3,1,30,149.07,20.26,21.78,228.29
148,3,1,30,128.72,17.41,21.87,260.2
149,3,1,30,120.12,19.56,21.95,259.1
150,3,0,30,126.5,17.67,20.93,257.27
151,3,0,30,146.9,20.38,21.95,259.56
152,3,0,30,137.37,19.69,19.11,229.65
153,3,0,30,146.05,18.94,20.49,240.39
154,3,0,30,129.02,17.24,19.97,237.38
155,3,0,30,140.34,19.13,22.21,263.46
156,3,0,30,134.9,18.9,20.79,250.56
157,3,0,30,138.97,18.88,20.26,229.57
158,3,0,30,140.43,21.44,22.97,260.93
159,3,0,30,136.62,19.33,20.17,237.04
160,4,3,30,135.98,19.82,20.11,225.49
161,4,3,30,141.08,20.36,20.93,229.83
162,4,3,30,133.84,18.15,21.06,244.88
163,4,3,30,136.75,18.41,20.27,236.94
164,4,2,30,135.56,18.06,20.17,227.7
165,4,2,30,140.43,21.44,22.97,260.93
166,4,2,30,137.35,18.01,20.32,236.12
167,4,2,30,134.0,18.06,21.13,222.69
168,4,2,30,129.08,19.34,21.74,242.61
169,4,1,30,120.84,18.87,21.8,254.47
170,4,1,30,140.25,19.11,20.47,245.71
171,4,1,30,129.99,17.64,19.98,221.64
172,4,1,30,134.0,18.06,20.12,222.69
173,4,1,30,138.5,19.0,21.91,227.85
174,4,1,30,143.55,19.69,21.66,227.2
175,4,1,30,133.1,21.0,21.75,258.21
176,4,1,30,138.19,20.67,21.34,250.75
177,4,0,30,138.91,18.0,20.36,241.13
178,4,0,30,146.25,20.25,21.39,261.36
179,4,0,30,132.89,19.16,21.31,257.77
180,4,0,30,137.02,16.99,21.02,215.31
181,4,0,30,133.36,19.31,20.46,231.37
182,4,0,30,133.25,19.01,20.8,236.01
183,4,0,30,134.0,18.06,20.12,222.69
184,4,0,30,127.2,19.1,21.22,242.13
185,4,0,30,133.36,19.31,20.46,254.51
186,4,0,30,128.87,17.32,18.83,238.0
187,4,0,30,133.96,18.9,20.51,230.55
188,4,0,30,135.56,18.06,21.18,227.7
189,4,0,30,139.67,21.0,22.01,278.42
190,5,3,30,135.3,18.28,20.67,240.91
191,5,3,30,136.17,18.58,21.49,236.37
192,5,2,30,130.96,21.57,21.37,242.15
193,5,2,30,136.25,18.53,21.01,247.79
194,5,2,30,137.14,19.79,22.02,252.91
195,5,2,30,128.8,18.64,21.03,245.71
196,5,2,30,139.31,21.06,22.16,255.84
197,5,1,30,138.0,19.75,21.57,244.31
198,5,1,30,134.99,18.94,20.62,224.09
199,5,1,30,143.55,19.69,21.66,227.2
200,5,1,30,137.35,18.01,20.32,236.12
201,5,1,30,135.37,18.24,20.7,229.81
202,5,1,30,134.7,18.1,20.61,236.29
203,5,1,30,131.54,18.7,21.44,232.65
204,5,1,30,139.63,20.51,21.14,240.29
205,5,1,30,140.76,20.9,21.95,245.38
206,5,1,30,140.67,19.74,20.7,237.77
207,5,1,30,136.16,18.23,18.2,232.32
208,5,1,30,136.16,18.23,20.22,209.09
209,5,1,30,133.92,18.1,21.1,233.79
210,5,1,30,134.76,20.39,22.36,251.77
211,5,0,30,135.77,18.94,20.14,226.6
212,5,0,30,138.59,19.93,21.62,248.94
213,5,0,30,132.53,19.58,20.93,234.05
214,5,0,30,136.16,18.23,20.22,232.32
215,5,0,30,137.46,19.25,21.0,237.36
216,5,0,30,138.59,19.93,21.62,248.94
217,5,0,30,139.56,18.87,23.0,227.45
218,5,0,30,122.56,18.58,21.49,236.37
219,5,0,30,135.3,18.28,20.67,240.91
220,6,3,30,133.12,18.4,21.03,234.47
221,6,3,30,135.73,18.43,21.08,238.64
222,6,3,30,135.73,18.43,21.08,238.64
223,6,3,30,132.05,18.46,20.85,243.31
224,6,2,30,137.08,18.99,19.88,238.32
225,6,2,30,136.25,19.01,21.36,241.36
226,6,2,30,135.58,18.76,21.05,230.23
227,6,2,30,140.2,20.71,21.55,242.84
228,6,1,30,138.22,20.42,22.09,254.38
229,6,1,30,132.97,19.22,21.53,249.31
230,6,1,30,136.32,18.14,20.49,238.52
231,6,1,30,137.19,20.45,21.75,246.03
232,6,1,30,136.65,19.01,21.12,242.61
233,6,1,30,138.9,19.76,21.36,245.34
234,6,1,30,132.52,18.59,21.02,246.75
235,6,1,30,137.01,19.58,21.39,246.07
236,6,1,30,134.78,21.75,21.49,245.54
237,6,1,30,133.57,20.07,21.43,239.26
238,6,0,30,134.05,19.85,21.6,250.77
239,6,0,30,134.05,19.85,19.44,275.85
240,6,0,30,132.97,19.22,19.37,249.31
241,6,0,30,133.57,20.07,21.43,239.26
242,6,0,30,135.04,18.17,19.65,233.05
243,6,0,30,135.63,18.06,20.71,234.95
244,6,0,30,132.97,19.22,21.53,249.31
245,6,0,30,136.68,18.99,21.14,237.06
246,6,0,30,137.78,19.79,21.58,251.82
247,6,0,30,131.36,20.21,21.07,239.75
248,6,0,30,137.98,19.01,20.68,239.34
249,6,0,30,137.14,19.79,22.02,252.91
250,7,3,30,138.64,19.85,20.71,240.58
251,7,3,30,134.43,18.41,21.05,236.55
252,7,3,30,134.65,19.25,21.25,238.95
253,7,2,30,134.13,18.51,21.05,242.69
254,7,2,30,138.64,19.85,20.71,240.58
255,7,2,30,135.06,18.99,23.33,240.27
256,7,2,30,135.99,21.1,21.62,245.79
257,7,2,30,136.03,18.28,20.78,238.58
258,7,2,30,138.05,20.11,21.55,245.69
259,7,1,30,132.05,18.46,20.85,243.31
260,7,1,30,138.64,19.85,20.71,240.58
261,7,1,30,136.29,18.58,20.93,239.94
262,7,1,30,135.11,19.54,21.27,240.94
263,7,1,30,137.08,18.99,21.87,238.32
264,7,1,30,136.41,18.71,20.48,238.48
265,7,1,30,132.05,18.46,20.85,243.31
266,7,1,30,136.41,20.58,20.48,238.48
267,7,1,30,149.92,18.58,20.93,239.94
268,7,0,30,134.13,18.51,21.05,242.69
269,7,0,30,136.45,19.01,21.24,241.99
270,7,0,30,133.89,18.44,20.96,240.97
271,7,0,30,134.53,20.92,21.12,244.69
272,7,0,30,136.66,18.86,20.94,242.29
273,7,0,30,133.89,18.44,23.06,240.97
274,7,0,30,136.7,18.57,20.19,238.42
275,7,0,30,135.37,19.51,21.56,250.56
276,7,0,30,136.45,19.01,21.24,241.99
277,7,0,30,134.43,20.26,21.05,236.55
278,7,0,30,138.26,19.42,21.02,240.68
279,7,0,30,137.08,18.99,19.88,238.32
280,8,5,30,135.55,18.64,22.06,239.42
281,8,3,30,137.56,19.55,21.71,242.0
282,8,3,30,136.64,19.55,20.98,239.76
283,8,3,30,136.58,19.83,21.41,243.31
284,8,2,30,136.38,19.18,20.88,241.64
285,8,2,30,134.86,19.12,22.29,239.61
286,8,2,30,135.06,19.8,21.34,244.24
287,8,2,30,135.27,19.54,20.77,240.59
288,8,1,30,136.38,19.18,20.88,241.64
289,8,1,30,134.65,19.25,21.25,238.95
290,8,1,30,133.09,18.48,20.95,243.0
291,8,1,30,135.47,18.91,21.09,239.44
292,8,1,30,135.86,19.12,21.56,238.63
293,8,1,30,137.46,19.21,20.82,240.26
294,8,1,30,134.43,18.41,21.05,236.55
295,8,1,30,134.43,18.41,21.05,236.55
296,8,0,30,138.34,19.98,21.13,243.13
297,8,0,30,136.64,19.55,23.08,239.76
298,8,0,30,137.46,19.21,20.82,240.26
299,8,0,30,134.54,18.83,21.15,237.75
300,8,0,30,137.04,19.2,21.17,242.13
301,8,0,30,150.74,19.2,21.17,242.13
302,8,0,30,134.56,18.72,21.36,240.81
303,8,0,30,136.24,19.26,21.3,241.12
304,8,0,30,137.33,17.16,20.75,239.58
305,8,0,30,138.64,19.85,20.71,240.58
306,8,0,30,135.47,18.91,21.09,239.44
307,8,0,30,135.34,19.15,20.78,241.94
308,8,0,30,136.64,19.55,20.98,239.76
309,8,0,30,138.64,19.85,20.71,240.58
310,9,3,30,137.07,19.69,21.56,242.66
311,9,2,30,135.52,19.21,21.07,240.29
312,9,2,30,136.36,19.38,20.79,240.42
313,9,2,30,137.07,21.66,21.56,242.66
314,9,2,30,135.55,18.64,22.06,239.42
315,9,2,30,137.07,19.69,21.56,242.66
316,9,2,30,136.48,17.55,21.15,242.47
317,9,1,30,136.48,19.5,21.15,242.47
318,9,1,30,134.87,19.02,20.97,217.24
319,9,1,30,136.06,19.23,21.73,241.37
320,9,1,30,135.54,18.98,21.02,238.16
321,9,1,30,136.55,19.09,21.88,240.71
322,9,1,30,135.06,19.33,21.53,240.1
323,9,1,30,135.85,21.64,21.16,242.0
324,9,1,30,134.75,19.18,21.77,239.28
325,9,1,30,136.61,19.69,21.2,241.54
326,9,1,30,135.57,19.33,23.28,239.61
327,9,1,30,135.3,19.22,21.7,241.83
328,9,1,30,136.09,19.09,21.52,239.59
329,9,1,30,135.61,19.54,21.33,241.13
330,9,1,30,136.09,19.09,21.52,263.55
331,9,1,30,136.51,19.36,20.93,240.7
332,9,0,30,134.87,19.02,20.97,241.38
333,9,0,30,134.43,18.41,21.05,236.55
334,9,0,30,137.1,19.55,21.35,216.79
335,9,0,30,133.76,18.45,21.0,239.78
336,9,0,30,136.52,19.23,21.4,240.72
337,9,0,30,136.06,19.23,21.04,239.6
338,9,0,30,135.1,18.94,21.65,239.19
339,9,0,30,135.41,19.09,21.41,240.0
340,10,5,30,136.31,19.16,21.81,241.04
341,10,3,30,136.58,19.39,21.54,241.12
342,10,3,30,136.52,19.3,21.52,241.59
343,10,2,30,135.53,18.93,19.41,239.86
344,10,2,30,136.0,18.38,21.11,241.38
345,10,2,30,135.54,18.81,21.54,238.79
346,10,2,30,134.87,19.02,20.97,217.24
347,10,1,30,136.08,19.16,21.63,240.48
348,10,1,30,136.31,19.16,21.81,241.04
349,10,1,30,135.63,19.27,21.35,239.99
350,10,1,30,136.31,19.16,21.81,241.04
351,10,1,30,136.79,20.51,21.25,241.68
352,10,1,30,136.04,19.35,22.11,240.15
353,10,1,30,135.46,20.49,19.21,241.05
354,10,1,30,135.24,19.28,19.03,229.19
355,10,1,30,135.42,19.14,21.64,239.44
356,10,1,30,150.39,20.52,21.18,241.54
357,10,1,30,136.29,18.32,21.33,241.03
358,10,0,30,136.58,19.39,21.54,241.12
359,10,0,30,136.3,19.33,21.29,240.41
360,10,0,30,136.79,19.53,21.25,241.68
361,10,0,30,135.83,21.13,22.4,239.6
362,10,0,30,136.11,19.61,21.27,241.33
363,10,0,30,135.65,19.14,21.83,240.0
364,10,0,30,135.29,19.27,21.3,240.19
365,10,0,30,136.31,20.15,23.99,241.04
366,10,0,30,135.29,19.27,21.3,240.19
367,10,0,30,136.0,18.38,21.11,241.38
368,10,0,30,136.81,19.39,21.72,241.68
369,10,0,30,136.48,17.55,21.15,242.47
370,11,3,30,136.69,19.95,21.39,241.4
371,11,3,30,135.63,19.27,21.35,239.99
372,11,3,30,149.15,19.09,21.39,229.14
373,11,3,30,135.05,19.15,20.0,223.22
374,11,2,30,136.45,19.28,21.68,241.08
375,11,2,30,135.92,18.99,21.67,239.92
376,11,2,30,149.78,19.72,20.33,216.69
377,11,2,30,136.14,18.35,21.22,241.21
378,11,2,30,143.19,19.45,21.14,241.46
379,11,2,30,136.17,19.25,21.96,240.6
380,11,1,30,149.81,19.16,21.72,240.76
381,11,1,30,136.41,19.23,21.66,241.32
382,11,1,30,136.03,17.15,21.53,240.19
383,11,1,30,135.59,19.09,21.39,229.14
384,11,1,30,143.19,21.39,21.14,241.46
385,11,1,30,136.31,19.16,21.81,241.04
386,11,0,30,135.69,19.16,21.24,229.42
387,11,0,30,136.06,17.24,20.47,240.49
388,11,0,30,136.17,19.25,21.96,240.6
389,11,0,30,143.35,19.84,21.49,241.29
390,11,0,30,136.55,19.34,21.53,241.36
391,11,0,30,136.31,19.16,21.81,241.04
392,11,0,30,136.29,18.32,21.33,241.03
393,11,0,30,136.41,19.23,21.66,241.32
394,11,0,30,135.92,19.04,20.61,240.45
395,11,0,30,142.96,19.72,20.29,240.7
396,11,0,30,136.02,19.11,20.46,240.73
397,11,0,30,136.31,19.16,21.81,241.04
398,11,0,30,135.49,19.71,19.31,240.45
399,11,0,30,135.59,19.09,21.39,229.14
400,12,3,30,135.32,19.12,20.69,226.18
401,12,3,30,136.41,19.23,21.66,241.32
402,12,2,30,139.94,19.7,19.14,241.43
403,12,2,30,136.16,19.61,21.37,216.63
404,12,2,30,136.43,19.6,21.68,241.0
405,12,2,30,143.25,17.6,21.56,241.08
406,12,2,30,142.64,18.72,21.3,235.17
407,12,2,30,136.5,19.56,21.6,241.22
408,12,2,30,136.16,19.61,21.37,240.69
409,12,2,30,142.96,19.03,20.77,228.95
410,12,2,30,135.78,19.13,21.51,239.95
411,12,1,30,142.71,19.5,20.84,228.34
412,12,1,30,136.43,19.6,21.68,241.0
413,12,1,30,135.68,19.15,20.91,232.13
414,12,1,30,122.28,19.55,20.7,232.31
415,12,1,30,136.14,19.52,21.39,235.27
416,12,1,30,142.1,19.12,20.69,226.18
417,12,0,30,149.46,19.4,20.86,222.92
418,12,0,30,142.39,19.18,21.37,234.57
419,12,0,30,139.12,19.3,20.57,232.34
420,12,0,30,142.1,19.12,20.69,226.18
421,12,0,30,135.87,21.5,20.7,232.31
422,12,0,30,142.59,18.12,19.31,234.67
423,12,0,30,135.6,18.75,20.61,232.21
424,12,0,30,142.66,19.17,21.67,234.87
425,12,0,30,149.15,19.09,21.39,229.14
426,12,0,30,142.42,19.43,20.16,219.95
427,12,0,30,135.95,19.13,21.6,235.09
428,12,0,30,135.34,19.21,20.68,231.6
429,12,0,30,142.37,19.09,21.39,229.14
430,13,4,30,128.8,19.33,20.7,229.24
431,13,4,30,128.8,19.33,20.7,229.24
432,13,3,30,139.84,18.6,21.62,241.04
433,13,3,30,136.46,19.58,21.64,241.11
434,13,2,30,139.7,19.32,21.22,234.97
435,13,2,30,138.18,19.46,20.4,241.37
436,13,2,30,139.21,18.93,21.41,237.56
437,13,1,30,135.55,19.12,21.1,233.07
438,13,1,30,138.22,19.63,20.37,241.33
439,13,1,30,122.17,19.36,21.03,221.4
440,13,1,30,132.62,19.29,20.74,230.63
441,13,1,30,139.56,19.32,21.07,222.79
442,13,1,30,135.78,19.13,21.51,239.95
443,13,1,30,139.83,18.42,21.61,265.32
444,13,1,30,138.05,19.66,18.23,241.06
445,13,1,30,141.59,18.65,20.35,241.26
446,13,1,30,136.33,19.58,21.49,228.92
447,13,0,30,141.29,19.21,20.22,238.3
448,13,0,30,139.39,19.12,21.35,235.22
449,13,0,30,136.42,19.42,21.67,241.16
450,13,0,30,139.21,18.93,21.41,213.81
451,13,0,30,136.45,19.39,23.8,241.27
452,13,0,30,139.54,19.16,21.49,238.09
453,13,0,30,135.88,19.36,21.19,233.59
454,13,0,30,135.88,19.36,21.19,233.59
455,13,0,30,141.32,19.6,19.99,234.89
456,13,0,30,142.96,19.03,20.77,228.95
457,13,0,30,138.05,19.66,20.26,229.03
458,13,0,30,139.56,19.36,21.25,234.83
459,13,0,30,138.22,21.59,20.37,241.33
460,14,3,30,133.51,19.48,20.53,235.28
461,14,2,30,134.18,19.33,18.8,226.02
462,14,2,30,139.7,19.32,21.22,234.97
463,14,2,30,134.32,18.97,21.16,235.14
464,14,2,30,121.09,19.44,21.19,235.87
465,14,2,30,147.75,18.97,21.16,235.14
466,14,2,30,137.32,19.52,21.02,217.12
467,14,2,30,136.4,19.58,21.56,258.52
468,14,1,30,138.69,19.2,18.81,239.47
469,14,1,30,128.8,19.33,20.7,229.24
470,14,1,30,133.49,19.4,20.55,235.31
471,14,1,30,139.21,20.82,21.41,237.56
472,14,1,30,143.19,19.41,20.72,231.39
473,14,1,30,132.57,19.46,21.09,229.08
474,14,1,30,137.8,18.77,21.56,252.63
475,14,1,30,138.08,19.09,21.55,234.98
476,14,1,30,134.54,19.44,21.19,235.87
477,14,1,30,130.86,19.34,21.05,222.09
478,14,1,30,137.84,19.25,21.52,239.34
479,14,1,30,134.32,18.87,21.15,247.28
480,14,1,30,132.57,19.46,21.09,229.08
481,14,0,30,137.81,18.87,21.56,240.5
482,14,0,30,139.45,19.12,21.32,236.27
483,14,0,30,137.77,19.25,21.45,233.24
484,14,0,30,134.25,19.33,20.96,232.11
485,14,0,30,131.0,18.89,21.32,243.36
486,14,0,30,128.8,19.33,20.7,229.24
487,14,0,30,139.63,19.32,21.15,228.88
488,14,0,30,137.26,19.62,19.94,241.09
489,14,0,30,128.8,19.33,18.63,229.24
490,15,5,30,137.1,19.18,21.56,255.58
491,15,3,30,134.09,19.43,21.04,219.61
492,15,3,30,129.59,17.34,21.37,235.43
493,15,3,30,134.95,19.53,21.05,246.9
494,15,2,30,137.56,19.15,21.29,234.88
495,15,2,30,138.51,19.42,23.23,226.05
496,15,2,30,136.08,19.06,21.34,243.31
497,15,1,30,137.12,19.42,21.54,248.93
498,15,1,30,130.68,19.4,20.89,229.16
499,15,1,30,134.25,19.15,19.98,207.52
500,15,1,30,132.6,19.46,21.13,243.88
501,15,1,30,136.94,19.32,20.01,230.49
502,15,1,30,137.56,19.15,21.29,234.88
503,15,1,30,138.89,19.21,21.39,234.98
504,15,1,30,147.75,18.97,21.16,235.14
505,15,1,30,136.06,18.82,21.36,249.96
506,15,1,30,136.06,18.82,19.22,249.96
507,15,0,30,140.02,19.42,20.87,235.59
508,15,0,30,134.25,19.33,18.86,232.11
509,15,0,30,135.82,19.24,21.09,226.13
510,15,0,30,136.6,19.4,20.88,235.13
511,15,0,30,131.15,19.37,20.62,232.28
512,15,0,30,134.36,19.38,19.99,230.94
513,15,0,30,138.51,19.42,21.12,226.05
514,15,0,30,130.39,19.38,21.21,235.42
515,15,0,30,134.25,19.15,19.98,230.58
516,15,0,30,139.19,19.26,20.02,237.22
517,15,0,30,136.51,19.08,19.99,237.3
518,15,0,30,138.89,19.21,21.39,234.98
519,15,0,30,133.83,19.36,19.67,230.66
520,16,4,30,133.34,18.26,21.47,245.5
521,16,2,30,147.66,18.27,21.38,235.2
522,16,2,30,134.86,19.44,21.34,246.4
523,16,2,30,135.51,19.18,21.2,273.27
524,16,2,30,133.34,18.26,21.47,245.5
525,16,2,30,135.91,19.15,20.63,221.2
526,16,2,30,136.59,19.12,21.45,249.44
527,16,2,30,134.52,21.43,21.04,233.25
528,16,2,30,137.33,19.16,21.43,245.23
529,16,2,30,136.58,19.0,20.39,252.77
530,16,2,30,135.51,21.09,21.2,248.43
531,16,1,30,135.6,19.31,21.3,237.59
532,16,1,30,133.42,19.3,20.55,225.7
533,16,1,30,142.43,20.98,21.36,245.36
534,16,1,30,138.67,18.15,21.26,235.28
535,16,1,30,135.08,19.25,21.19,231.46
536,16,1,30,133.35,18.38,21.46,242.18
537,16,0,30,122.92,19.0,20.39,252.77
538,16,0,30,122.35,19.43,20.53,238.7
539,16,0,30,142.66,19.06,21.22,235.01
540,16,0,30,129.59,17.34,21.37,235.43
541,16,0,30,142.43,19.19,21.35,242.03
542,16,0,30,132.82,18.08,20.3,242.69
543,16,0,30,134.33,19.14,21.24,246.92
544,16,0,30,133.81,19.36,20.45,229.83
545,16,0,30,137.33,19.16,21.43,245.23
546,16,0,30,134.24,18.27,21.38,235.2
